Brutto,Proteins list
C8H10N4O2,Q07343|P08684|P11712|P33261|P05181|Q9HB55|Q16678|P10635|P33260|P24903|Q8N118|P20813|P20815|P04798|Q16696|P24462|P13584|Q86W10|P05177|P11511|P10632|Q96SQ9|P51589|P20853|P11509|P30542|P29274|P08183|A0N0X8|P21817|Q6NWU0
C22H32O2,O00154|P49753|Q8N9L9|Q7Z449|Q86TX2
C11H11NO2,nan
C2H2O4,P12931|O94956
C6H12O5,Q96JD6
C4H10O4,nan
C4H10O2,Q9BQB6
C6H12O7,Q15493|Q9Y2S2
CH3NO2,nan
C5H5NO2,nan
C8H11NO2,P08913|P18089
C7H12N2O4,Q03154
C6H12O5,nan
