HMDB0000123,P48728,AMT
HMDB0000123,P21549,AGXT
HMDB0000123,P48637,GSS
HMDB0000123,P34897,SHMT2
HMDB0000123,Q9UL12,SARDH
HMDB0000123,P34896,SHMT1
HMDB0000123,P23378,GLDC
HMDB0000123,P28838,LAP3
HMDB0000123,O60391,GRIN3B
HMDB0000123,Q12879,GRIN2A
HMDB0000123,Q14957,GRIN2C
HMDB0000123,P48067,SLC6A9
HMDB0000123,P23434,GCSH
HMDB0000641,O94808,GFPT2
HMDB0000641,Q06210,GFPT1
HMDB0000641,Q06203,PPAT
HMDB0000641,Q16773,CCBL1
HMDB0000641,P47897,QARS
HMDB0000641,P08243,ASNS
HMDB0000641,P49915,GMPS
HMDB0000641,Q08188,TGM3
HMDB0000641,P21980,TGM2
HMDB0000641,P15104,GLUL
HMDB0000641,P00488,F13A1
HMDB0000641,Q9UI32,GLS2
HMDB0000641,P17812,CTPS1
HMDB0000641,O43548,TGM5
HMDB0000641,O94925,GLS
HMDB0000641,P49221,TGM4
HMDB0000641,P22735,TGM1
HMDB0000641,O95932,TGM6
HMDB0000641,Q96PF1,TGM7
HMDB0000641,O15067,PFAS
HMDB0000641,O75879,PET112
HMDB0000641,Q15758,SLC1A5
HMDB0000641,Q9UHI5,SLC7A8
HMDB0000641,Q99624,SLC38A3
HMDB0000641,Q6IA69,NADSYN1
HMDB0000070,Q9P0Z9,PIPOX
HMDB0000172,P54687,BCAT1
HMDB0000172,O15382,BCAT2
HMDB0000172,P41252,IARS
HMDB0000172,P45954,ACADSB
HMDB0000172,Q8TF71,SLC16A10
HMDB0000172,Q96RQ9,IL4I1
HMDB0000172,Q9NSE4,IARS2
HMDB0002329,P12931,SRC
HMDB0002329,O94956,SLCO2B1
HMDB0002183,O00154,ACOT7
HMDB0002183,P49753,ACOT2
HMDB0002183,Q8N9L9,ACOT4
HMDB0002183,Q7Z449,CYP2U1
HMDB0002183,Q86TX2,ACOT1
HMDB0000197,P49189,ALDH9A1
HMDB0000197,P49419,ALDH7A1
HMDB0000197,P47895,ALDH1A3
HMDB0000197,P05091,ALDH2
HMDB0000197,P51648,ALDH3A2
HMDB0000197,P30837,ALDH1B1
HMDB0000197,P35869,AHR
HMDB0004825,P08913,ADRA2A
HMDB0004825,P18089,ADRA2B
HMDB0000883,P05166,PCCB
HMDB0000883,P21964,COMT
HMDB0000883,P54687,BCAT1
HMDB0000883,O15382,BCAT2
HMDB0000883,P26640,VARS
HMDB0000883,Q8TF71,SLC16A10
HMDB0000883,Q5ST30,VARS2
HMDB0000714,Q6IB77,GLYAT
HMDB0000714,Q969I3,GLYATL1
HMDB0000714,Q8WU03,GLYATL2
HMDB0000714,Q5SZD4,GLYATL3
HMDB0001893,P09601,HMOX1
HMDB0001893,P23743,DGKA
HMDB0001893,P48506,GCLC
HMDB0001893,P21266,GSTM3
HMDB0001893,P78417,GSTO1
HMDB0001893,P09210,GSTA2
HMDB0001893,P09211,GSTP1
HMDB0001893,O15269,SPTLC1
HMDB0001893,P09917,ALOX5
HMDB0001893,P17252,PRKCA
HMDB0001893,P05771,PRKCB
HMDB0001893,P15559,NQO1
HMDB0001893,P49638,TTPA
HMDB0001893,O75469,NR1I2
HMDB0001893,P00441,SOD1
HMDB0001893,P67775,PPP2CA
HMDB0001893,P62714,PPP2CB
HMDB0001893,Q9UDX4,SEC14L3
HMDB0001893,Q9UDX3,SEC14L4
HMDB0000167,P26639,TARS
HMDB0000167,P20132,SDS
HMDB0000167,P43007,SLC1A4
HMDB0000167,Q8IYQ7,THNSL1
HMDB0000167,Q8TF71,SLC16A10
HMDB0000167,A1L0T0,ILVBL
HMDB0000167,Q96GA7,SDSL
HMDB0000167,A2RTX5,TARSL2
HMDB0000167,Q9BW92,TARS2
HMDB0000158,P14679,TYR
HMDB0000158,P07101,TH
HMDB0000158,P07202,TPO
HMDB0000158,P17735,TAT
HMDB0000158,P20711,DDC
HMDB0000158,P00439,PAH
HMDB0000158,P17174,GOT1
HMDB0000158,P00505,GOT2
HMDB0000158,P54577,YARS
HMDB0000158,Q9Y2Z4,YARS2
