HMDB0001943 C10H15NO
HMDB0053280 C60H108O6
HMDB0053427 C61H100O6
HMDB0047286 C65H118O6
HMDB0046510 C61H114O6
HMDB0053263 C61H102O5
HMDB0055895 C62H96O6
HMDB0033099 C25H26O5
HMDB0266473 C47H85O11P
HMDB0264228 C41H69O12P
HMDB0050034 C57H96O6
HMDB0288868 C30H50NO9P
HMDB0049559 C61H108O6
HMDB0050504 C61H106O6
HMDB0265778 C45H77O9P
HMDB0055921 C71H112O6
HMDB0240650 C6H10N2O2
HMDB0008413 C50H94NO8P
HMDB0287435 C46H80NO9P
HMDB0052829 C65H98O6
HMDB0049496 C65H118O6
HMDB0006848 C28H44O
HMDB0047528 C69H118O6
HMDB0051763 C69H116O6
HMDB0286535 C46H80NO9P
HMDB0044041 C53H94O6
HMDB0043015 C55H96O6
HMDB0045690 C57H106O6
HMDB0059649 C6H11NO2
HMDB0007681 C43H74O5
HMDB0267478 C34H63O9P
HMDB0009570 C49H86NO8P
HMDB0289015 C50H86NO10P
HMDB0050304 C55H100O6
HMDB0267734 C39H69O9P
HMDB0044104 C57H100O6
HMDB0267108 C44H79O9P
HMDB0266650 C31H51O9P
HMDB0001084 C6H9NO2
HMDB0015481 C27H23N5O4
HMDB0287867 C50H90NO9P
HMDB0053392 C63H104O6
HMDB0056237 C42H72O5
HMDB0042391 C51H96O6
HMDB0011673 C47H82N2O22P2
HMDB0009312 C41H78NO7P
HMDB0287038 C48H86NO9P
HMDB0267210 C48H87O9P
HMDB0008462 C44H80NO8P
HMDB0000452 C4H9NO2
HMDB0047653 C73H132O6
HMDB0054975 C59H94O6
HMDB0009837 C45H83O13P
HMDB0266574 C23H39O9P
HMDB0285805 C43H78NO9P
HMDB0287727 C50H78NO10P
HMDB0009396 C45H78NO8P
HMDB0037975 C21H20O10
HMDB0007581 C45H74O5
HMDB0264140 C41H69O10P
HMDB0052957 C55H92O6
HMDB0011255 C46H82NO7P
HMDB0115310 C45H79O8P
HMDB0009014 C47H92NO8P
HMDB0287679 C48H78NO9P
HMDB0049426 C61H100O6
HMDB0004684 C20H34O5
HMDB0267178 C44H77O11P
HMDB0289434 C44H80NO8P
HMDB0013113 C11H24O
HMDB0043183 C54H94O6
HMDB0285624 C42H76NO11P
HMDB0287409 C48H80NO9P
HMDB0289258 C46H78NO12P
HMDB0049955 C59H98O6
HMDB0008690 C44H76NO8P
HMDB0285867 C43H78NO10P
HMDB0044260 C59H108O6
HMDB0042866 C57H92O6
HMDB0015330 C37H40N2O6
HMDB0045782 C61H110O6
HMDB0002185 C30H48N7O16P3S
HMDB0051555 C59H102O6
HMDB0008316 C50H96NO8P
HMDB0011370 C38H76NO7P
HMDB0008619 C46H88NO7P
HMDB0054751 C63H100O6
HMDB0286485 C46H80NO11P
HMDB0115445 C47H83O8P
HMDB0005464 C63H116O6
HMDB0048382 C61H96O6
HMDB0047595 C67H118O6
HMDB0115485 C25H49O8P
HMDB0251073 C30H30N4O4
HMDB0045669 C61H114O6
HMDB0050837 C63H102O6
HMDB0264144 C41H65O9P
HMDB0115871 C46H91O8P
HMDB0047435 C69H118O6
HMDB0287667 C48H78NO9P
HMDB0045692 C59H110O6
HMDB0010621 C42H75O10P
HMDB0286758 C46H76NO10P
HMDB0044923 C57H104O6
HMDB0012014 C100H174N4O47
HMDB0009546 C45H86NO7P
HMDB0285908 C44H80NO9P
HMDB0047026 C63H112O6
HMDB0055744 C65H116O5
HMDB0263634 C39H73O9P
HMDB0049960 C59H108O5
HMDB0053398 C63H108O6
HMDB0009053 C37H70NO8P
